x,y,timestamp
0.01,0.0,Thu Nov 21 05:04:50 2024
0.04,0.0,Thu Nov 21 05:04:51 2024
0.09,-0.0,Thu Nov 21 05:04:51 2024
0.16,-0.01,Thu Nov 21 05:04:51 2024
0.24,-0.02,Thu Nov 21 05:04:51 2024
0.33,-0.04,Thu Nov 21 05:04:52 2024
0.42,-0.08,Thu Nov 21 05:04:52 2024
0.51,-0.12,Thu Nov 21 05:04:52 2024
0.6,-0.17,Thu Nov 21 05:04:52 2024
0.69,-0.21,Thu Nov 21 05:04:53 2024
0.79,-0.25,Thu Nov 21 05:04:53 2024
0.89,-0.28,Thu Nov 21 05:04:53 2024
1.0,-0.31,Thu Nov 21 05:04:53 2024
1.12,-0.33,Thu Nov 21 05:04:53 2024
1.33,-0.36,Thu Nov 21 05:04:56 2024
1.36,-0.36,Thu Nov 21 05:04:56 2024
1.4,-0.34,Thu Nov 21 05:04:56 2024
1.42,-0.3,Thu Nov 21 05:04:56 2024
1.43,-0.26,Thu Nov 21 05:04:57 2024
1.41,-0.21,Thu Nov 21 05:04:57 2024
1.37,-0.18,Thu Nov 21 05:04:57 2024
1.3,-0.16,Thu Nov 21 05:04:58 2024
1.27,-0.17,Thu Nov 21 05:04:58 2024
1.2,-0.18,Thu Nov 21 05:04:59 2024
1.12,-0.18,Thu Nov 21 05:04:59 2024
1.02,-0.19,Thu Nov 21 05:04:59 2024
0.91,-0.19,Thu Nov 21 05:05:00 2024
0.89,-0.18,Thu Nov 21 05:05:00 2024
0.85,-0.19,Thu Nov 21 05:05:01 2024
0.82,-0.21,Thu Nov 21 05:05:01 2024
0.79,-0.24,Thu Nov 21 05:05:01 2024
0.78,-0.29,Thu Nov 21 05:05:01 2024
0.8,-0.35,Thu Nov 21 05:05:01 2024
0.83,-0.38,Thu Nov 21 05:05:02 2024
0.86,-0.4,Thu Nov 21 05:05:02 2024
0.91,-0.43,Thu Nov 21 05:05:03 2024
0.98,-0.46,Thu Nov 21 05:05:03 2024
1.05,-0.49,Thu Nov 21 05:05:03 2024
1.14,-0.51,Thu Nov 21 05:05:03 2024
1.23,-0.54,Thu Nov 21 05:05:03 2024
1.33,-0.56,Thu Nov 21 05:05:04 2024
1.44,-0.57,Thu Nov 21 05:05:04 2024
1.54,-0.58,Thu Nov 21 05:05:04 2024
1.65,-0.59,Thu Nov 21 05:05:04 2024
1.76,-0.59,Thu Nov 21 05:05:05 2024
1.88,-0.58,Thu Nov 21 05:05:05 2024
1.99,-0.57,Thu Nov 21 05:05:05 2024
2.11,-0.56,Thu Nov 21 05:05:05 2024
2.22,-0.54,Thu Nov 21 05:05:05 2024
2.34,-0.52,Thu Nov 21 05:05:05 2024
2.45,-0.49,Thu Nov 21 05:05:06 2024
2.47,-0.48,Thu Nov 21 05:05:07 2024
2.51,-0.46,Thu Nov 21 05:05:07 2024
2.55,-0.43,Thu Nov 21 05:05:07 2024
2.59,-0.38,Thu Nov 21 05:05:07 2024
2.61,-0.32,Thu Nov 21 05:05:08 2024
2.6,-0.2,Thu Nov 21 05:05:09 2024
2.58,-0.19,Thu Nov 21 05:05:09 2024
2.53,-0.16,Thu Nov 21 05:05:09 2024
2.47,-0.12,Thu Nov 21 05:05:09 2024
2.38,-0.07,Thu Nov 21 05:05:10 2024
2.29,-0.03,Thu Nov 21 05:05:10 2024
2.18,0.01,Thu Nov 21 05:05:10 2024
